name,val,date
9th Avenue East,98.0,2019-09-11 14:16:17
9th Avenue West,100.0,2019-09-11 14:16:17
North Cannon,89.0,2019-09-11 14:16:17
South Cannon,78.0,2019-09-11 14:16:17
Ohio Union North,100.0,2019-09-11 14:16:17
Ohio Union South,23.0,2019-09-11 14:16:17
Gateway,66.0,2019-09-11 14:16:17
11th Avenue,97.0,2019-09-11 14:16:17
Neil Avenue,97.0,2019-09-11 14:16:17
Tuttle,97.0,2019-09-11 14:16:17
Northwest,96.0,2019-09-11 14:16:17
Arps Hall,79.0,2019-09-11 14:16:17
Lane Avenue,80.0,2019-09-11 14:16:17
West Lane Avenue,53.0,2019-09-11 14:16:17
Carmack Lot - 1,86.0,2019-09-11 14:16:17
Carmack Lot - 2/3,68.0,2019-09-11 14:16:17
Carmack Lot - 4,92.0,2019-09-11 14:16:17
Carmack Lot - 5,95.0,2019-09-11 14:16:17
Buckeye Lot,87.0,2019-09-11 14:16:17
SAFEAUTO,59.0,2019-09-11 09:16:10
12th Avenue,78.0,2019-09-11 09:16:10
9th Avenue East,99.0,2019-09-11 09:16:10
9th Avenue West,100.0,2019-09-11 09:16:10
North Cannon,82.0,2019-09-11 09:16:10
South Cannon,64.0,2019-09-11 09:16:10
Ohio Union North,79.0,2019-09-11 09:16:10
Ohio Union South,14.0,2019-09-11 09:16:10
Gateway,63.0,2019-09-11 09:16:10
11th Avenue,99.0,2019-09-11 09:16:10
Neil Avenue,98.0,2019-09-11 09:16:10
Tuttle,65.0,2019-09-11 09:16:10
Northwest,71.0,2019-09-11 09:16:10
Arps Hall,57.0,2019-09-11 09:16:10
Lane Avenue,69.0,2019-09-11 09:16:10
West Lane Avenue,53.0,2019-09-11 09:16:10
Carmack Lot - 1,87.0,2019-09-11 09:16:10
Carmack Lot - 2/3,68.0,2019-09-11 09:16:10
Carmack Lot - 4,92.0,2019-09-11 09:16:10
Carmack Lot - 5,63.0,2019-09-11 09:16:10
Buckeye Lot,74.0,2019-09-11 09:16:10
SAFEAUTO,81.0,2019-09-11 11:16:12
12th Avenue,90.0,2019-09-11 11:16:12
9th Avenue East,99.0,2019-09-11 11:16:12
9th Avenue West,100.0,2019-09-11 11:16:12
North Cannon,93.0,2019-09-11 11:16:12
South Cannon,81.0,2019-09-11 11:16:12
Ohio Union North,100.0,2019-09-11 11:16:12
Ohio Union South,24.0,2019-09-11 11:16:12
Gateway,67.0,2019-09-11 11:16:12
11th Avenue,100.0,2019-09-11 11:16:12
Neil Avenue,99.0,2019-09-11 11:16:12
Tuttle,99.0,2019-09-11 11:16:12
Northwest,99.0,2019-09-11 11:16:12
Arps Hall,81.0,2019-09-11 11:16:12
Lane Avenue,76.0,2019-09-11 11:16:12
West Lane Avenue,55.0,2019-09-11 11:16:12
Carmack Lot - 1,87.0,2019-09-11 11:16:12
Carmack Lot - 2/3,68.0,2019-09-11 11:16:12
Carmack Lot - 4,93.0,2019-09-11 11:16:12
Carmack Lot - 5,96.0,2019-09-11 11:16:12
Buckeye Lot,93.0,2019-09-11 11:16:12
SAFEAUTO,81.0,2019-09-11 14:46:18
12th Avenue,87.0,2019-09-11 14:46:18
9th Avenue East,95.0,2019-09-11 14:46:18
9th Avenue West,100.0,2019-09-11 14:46:18
North Cannon,89.0,2019-09-11 14:46:18
South Cannon,75.0,2019-09-11 14:46:18
Ohio Union North,98.0,2019-09-11 14:46:18
Ohio Union South,21.0,2019-09-11 14:46:18
Gateway,66.0,2019-09-11 14:46:18
11th Avenue,96.0,2019-09-11 14:46:18
Neil Avenue,95.0,2019-09-11 14:46:18
Tuttle,95.0,2019-09-11 14:46:18
Northwest,95.0,2019-09-11 14:46:18
Arps Hall,77.0,2019-09-11 14:46:18
Lane Avenue,79.0,2019-09-11 14:46:18
West Lane Avenue,52.0,2019-09-11 14:46:18
Carmack Lot - 1,85.0,2019-09-11 14:46:18
Carmack Lot - 2/3,67.0,2019-09-11 14:46:18
Carmack Lot - 4,92.0,2019-09-11 14:46:18
Carmack Lot - 5,96.0,2019-09-11 14:46:18
Buckeye Lot,83.0,2019-09-11 14:46:18
SAFEAUTO,61.0,2019-09-12 16:17:00
12th Avenue,68.0,2019-09-12 16:17:00
9th Avenue East,66.0,2019-09-12 16:17:00
9th Avenue West,77.0,2019-09-12 16:17:00
North Cannon,69.0,2019-09-12 16:17:00
South Cannon,57.0,2019-09-12 16:17:00
Ohio Union North,70.0,2019-09-12 16:17:00
Ohio Union South,41.0,2019-09-12 16:17:00
Gateway,53.0,2019-09-12 16:17:00
11th Avenue,76.0,2019-09-12 16:17:00
Neil Avenue,72.0,2019-09-12 16:17:00
Tuttle,72.0,2019-09-12 16:17:00
Northwest,74.0,2019-09-12 16:17:00
Arps Hall,65.0,2019-09-12 16:17:00
Lane Avenue,68.0,2019-09-12 16:17:00
West Lane Avenue,50.0,2019-09-12 16:17:00
Carmack Lot - 1,57.0,2019-09-12 16:17:00
Carmack Lot - 2/3,42.0,2019-09-12 16:17:00
Carmack Lot - 4,57.0,2019-09-12 16:17:00
Carmack Lot - 5,77.0,2019-09-12 16:17:00
Buckeye Lot,57.0,2019-09-12 16:17:00
SAFEAUTO,32.0,2019-09-12 20:18:27
12th Avenue,72.0,2019-09-12 20:18:27
9th Avenue East,16.0,2019-09-12 20:18:27
9th Avenue West,17.0,2019-09-12 20:18:27
North Cannon,49.0,2019-09-12 20:18:27
South Cannon,33.0,2019-09-12 20:18:27
Ohio Union North,3.0,2019-09-12 20:18:27
Ohio Union South,10.0,2019-09-12 20:18:27
Gateway,42.0,2019-09-12 20:18:27
11th Avenue,15.0,2019-09-12 20:18:27
Neil Avenue,13.0,2019-09-12 20:18:27
Tuttle,15.0,2019-09-12 20:18:27
Northwest,6.0,2019-09-12 20:18:27
Arps Hall,17.0,2019-09-12 20:18:27
Lane Avenue,31.0,2019-09-12 20:18:27
West Lane Avenue,48.0,2019-09-12 20:18:27
Carmack Lot - 1,5.0,2019-09-12 20:18:27
Carmack Lot - 2/3,0.0,2019-09-12 20:18:27
Carmack Lot - 4,9.0,2019-09-12 20:18:27
Carmack Lot - 5,27.0,2019-09-12 20:18:27
Buckeye Lot,6.0,2019-09-12 20:18:27
SAFEAUTO,54.0,2019-09-12 16:47:11
12th Avenue,64.0,2019-09-12 16:47:11
9th Avenue East,57.0,2019-09-12 16:47:11
9th Avenue West,64.0,2019-09-12 16:47:11
North Cannon,64.0,2019-09-12 16:47:11
South Cannon,53.0,2019-09-12 16:47:11
Ohio Union North,60.0,2019-09-12 16:47:11
Ohio Union South,37.0,2019-09-12 16:47:11
Gateway,50.0,2019-09-12 16:47:11
11th Avenue,61.0,2019-09-12 16:47:11
Neil Avenue,61.0,2019-09-12 16:47:11
Tuttle,61.0,2019-09-12 16:47:11
Northwest,60.0,2019-09-12 16:47:11
Arps Hall,59.0,2019-09-12 16:47:11
Lane Avenue,61.0,2019-09-12 16:47:11
West Lane Avenue,49.0,2019-09-12 16:47:11
Carmack Lot - 1,44.0,2019-09-12 16:47:11
Carmack Lot - 2/3,32.0,2019-09-12 16:47:11
Carmack Lot - 4,43.0,2019-09-12 16:47:11
Carmack Lot - 5,69.0,2019-09-12 16:47:11
Buckeye Lot,47.0,2019-09-12 16:47:11
SAFEAUTO,49.0,2019-09-12 17:17:21
12th Avenue,61.0,2019-09-12 17:17:21
9th Avenue East,49.0,2019-09-12 17:17:21
9th Avenue West,50.0,2019-09-12 17:17:21
North Cannon,59.0,2019-09-12 17:17:21
South Cannon,50.0,2019-09-12 17:17:21
Ohio Union North,49.0,2019-09-12 17:17:21
Ohio Union South,35.0,2019-09-12 17:17:21
Gateway,45.0,2019-09-12 17:17:21
11th Avenue,45.0,2019-09-12 17:17:21
Neil Avenue,49.0,2019-09-12 17:17:21
Tuttle,52.0,2019-09-12 17:17:21
Northwest,46.0,2019-09-12 17:17:21
Arps Hall,49.0,2019-09-12 17:17:21
Lane Avenue,52.0,2019-09-12 17:17:21
West Lane Avenue,47.0,2019-09-12 17:17:21
Carmack Lot - 1,31.0,2019-09-12 17:17:21
Carmack Lot - 2/3,22.0,2019-09-12 17:17:21
Carmack Lot - 4,31.0,2019-09-12 17:17:21
Carmack Lot - 5,62.0,2019-09-12 17:17:21
Buckeye Lot,39.0,2019-09-12 17:17:21
SAFEAUTO,25.0,2019-09-12 21:18:49
12th Avenue,67.0,2019-09-12 21:18:49
9th Avenue East,12.0,2019-09-12 21:18:49
9th Avenue West,14.0,2019-09-12 21:18:49
North Cannon,45.0,2019-09-12 21:18:49
South Cannon,28.0,2019-09-12 21:18:49
Ohio Union North,1.0,2019-09-12 21:18:49
Ohio Union South,7.0,2019-09-12 21:18:49
Gateway,41.0,2019-09-12 21:18:49
11th Avenue,15.0,2019-09-12 21:18:49
Neil Avenue,8.0,2019-09-12 21:18:49
Tuttle,10.0,2019-09-12 21:18:49
Northwest,3.0,2019-09-12 21:18:49
Arps Hall,12.0,2019-09-12 21:18:49
Lane Avenue,26.0,2019-09-12 21:18:49
West Lane Avenue,50.0,2019-09-12 21:18:49
Carmack Lot - 1,1.0,2019-09-12 21:18:49
Carmack Lot - 2/3,0.0,2019-09-12 21:18:49
Carmack Lot - 4,6.0,2019-09-12 21:18:49
Carmack Lot - 5,23.0,2019-09-12 21:18:49
Buckeye Lot,1.0,2019-09-12 21:18:49
SAFEAUTO,42.0,2019-09-12 19:18:05
12th Avenue,81.0,2019-09-12 19:18:05
9th Avenue East,30.0,2019-09-12 19:18:05
9th Avenue West,27.0,2019-09-12 19:18:05
North Cannon,57.0,2019-09-12 19:18:05
South Cannon,41.0,2019-09-12 19:18:05
Ohio Union North,12.0,2019-09-12 19:18:05
Ohio Union South,13.0,2019-09-12 19:18:05
Gateway,43.0,2019-09-12 19:18:05
11th Avenue,20.0,2019-09-12 19:18:05
Neil Avenue,23.0,2019-09-12 19:18:05
Tuttle,23.0,2019-09-12 19:18:05
Northwest,12.0,2019-09-12 19:18:05
Arps Hall,22.0,2019-09-12 19:18:05
Lane Avenue,36.0,2019-09-12 19:18:05
West Lane Avenue,48.0,2019-09-12 19:18:05
Carmack Lot - 1,17.0,2019-09-12 19:18:05
Carmack Lot - 2/3,10.0,2019-09-12 19:18:05
Carmack Lot - 4,17.0,2019-09-12 19:18:05
Carmack Lot - 5,35.0,2019-09-12 19:18:05
Buckeye Lot,11.0,2019-09-12 19:18:05
SAFEAUTO,68.0,2019-09-12 15:46:49
12th Avenue,74.0,2019-09-12 15:46:49
9th Avenue East,78.0,2019-09-12 15:46:49
9th Avenue West,86.0,2019-09-12 15:46:49
North Cannon,75.0,2019-09-12 15:46:49
South Cannon,64.0,2019-09-12 15:46:49
Ohio Union North,78.0,2019-09-12 15:46:49
Ohio Union South,44.0,2019-09-12 15:46:49
Gateway,57.0,2019-09-12 15:46:49
11th Avenue,82.0,2019-09-12 15:46:49
Neil Avenue,81.0,2019-09-12 15:46:49
Tuttle,83.0,2019-09-12 15:46:49
Northwest,84.0,2019-09-12 15:46:49
Arps Hall,71.0,2019-09-12 15:46:49
Lane Avenue,75.0,2019-09-12 15:46:49
West Lane Avenue,51.0,2019-09-12 15:46:49
Carmack Lot - 1,70.0,2019-09-12 15:46:49
Carmack Lot - 2/3,54.0,2019-09-12 15:46:49
Carmack Lot - 4,73.0,2019-09-12 15:46:49
